PDB ID,Angle Alpha,Angle Beta,Angle Gamma,Length A,Length B,Length C,Space Group,Z-number
"1A12","112.88","104.09","103.42","48.96","82.90","83.11","P 1","3"
"1A21","96.06","99.11","91.14","42.54","49.01","65.01","P 1","2"
"1A4S","105.20","115.13","100.02","84.17","86.22","88.33","P 1","4"
"1A6Y","75.16","80.64","85.58","38.67","45.69","47.95","P 1","2"
"1A71","103.00","87.90","70.70","50.60","44.10","92.60","P 1","2"
"1A7Y","85.93","86.19","69.86","15.74","15.89","25.16","P 1","3"
"1A8V","99.06","102.64","96.43","30.42","36.16","54.25","P 1","2"
"1AAR","105.90","113.30","69.70","32.10","46.20","25.40","P 1","2"
"1AD0","69.88","82.48","71.34","48.31","66.27","81.38","P 1","2"
"1ADB","103.30","87.90","70.40","52.10","44.70","93.50","P 1","2"
"1ADC","103.10","87.80","70.40","51.90","44.80","93.00","P 1","2"
"1AGA","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1AI4","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1AI5","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1AI6","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1AI7","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1AIF","85.30","121.40","116.50","57.20","71.20","75.80","P 1","2"
"1AIO","79.81","84.75","82.79","31.27","35.46","47.01","P 1","2"
"1AJN","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1AJO","92.60","109.28","116.68","44.95","46.55","63.99","P 1","2"
"1AJP","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1AJQ","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1AKA","85.26","108.96","115.57","55.87","58.80","75.81","P 1","2"
"1AKY","110.80","109.00","63.30","36.30","40.50","45.70","P 1","1"
"1AM4","90.01","90.00","90.05","78.11","78.12","78.10","P 1","3"
"1ANX","82.40","82.40","118.20","91.20","91.30","36.20","P 1","3"
"1AO6","91.07","103.50","75.08","59.68","96.98","59.72","P 1","2"
"1AOJ","107.53","96.83","104.51","27.69","28.34","36.83","P 1","2"
"1AOX","88.27","76.59","66.74","40.54","43.29","68.04","P 1","2"
"1ARB","114.80","113.73","74.00","39.54","40.36","43.93","P 1","1"
"1ARC","120.10","112.80","68.50","37.30","42.80","48.00","P 1","1"
"1AU7","76.70","79.30","67.20","42.50","50.10","55.80","P 1","2"
"1AW7","88.50","93.30","91.10","49.63","99.28","41.33","P 1","4"
"1AXE","103.10","87.59","70.55","51.82","44.58","93.28","P 1","2"
"1AXG","102.66","99.24","101.63","44.35","86.73","90.64","P 1","4"
"1AZ0","109.00","108.00","96.00","49.00","50.20","64.10","P 1","2"
"1B0G","81.98","76.18","77.86","50.09","62.89","74.68","P 1","2"
"1B0V","78.10","85.20","71.90","42.00","55.30","62.30","P 1","4"
"1B3K","90.97","93.33","115.94","65.47","74.93","103.69","P 1","4"
"1B6C","86.23","81.86","63.92","75.58","81.06","90.53","P 1","4"
"1B6S","66.10","82.70","81.80","60.60","92.10","102.60","P 1","4"
"1B7T","89.10","90.00","73.50","51.70","58.90","138.90","P 1","1"
"1B94","96.94","108.66","107.53","48.64","49.37","63.89","P 1","2"
"1B95","97.03","108.87","107.03","48.48","48.63","63.86","P 1","2"
"1B96","96.61","108.94","107.44","48.35","48.78","63.64","P 1","2"
"1B97","96.65","108.91","107.53","48.65","49.22","64.04","P 1","2"
"1B9K","99.40","95.29","113.69","39.86","40.87","42.47","P 1","1"
"1BA7","71.75","90.00","82.98","39.11","53.87","58.20","P 1","2"
"1BAS","64.18","106.36","103.25","31.07","33.54","36.96","P 1","1"
"1BD7","66.70","74.90","77.50","39.00","48.50","54.50","P 1","2"
"1BEB","123.40","97.30","103.70","37.80","49.50","56.60","P 1","2"
"1BFF","64.10","73.00","76.10","30.80","33.30","36.50","P 1","1"
"1BFG","94.55","103.39","88.11","33.37","34.75","30.89","P 1","1"
"1BGB","96.00","109.00","108.00","49.40","50.20","64.10","P 1","2"
"1BGX","100.70","115.30","95.30","76.60","89.10","89.30","P 1","1"
"1BIS","68.82","64.74","62.63","45.09","45.08","49.43","P 1","2"
"1BL4","62.61","82.75","85.29","32.73","41.85","43.59","P 1","2"
"1BM0","91.04","103.40","74.94","59.36","96.89","59.24","P 1","2"
"1BPW","105.32","113.29","98.16","85.40","86.57","89.81","P 1","4"
"1BR1","111.21","106.10","92.58","95.32","144.66","147.29","P 1","4"
"1BR4","111.21","106.10","92.58","95.32","144.66","147.29","P 1","4"
"1BRN","107.77","89.05","96.37","39.87","54.29","29.61","P 1","2"
"1BSS","109.20","108.70","95.80","50.00","64.40","49.20","P 1","2"
"1BSU","109.10","108.10","96.50","50.30","64.00","49.10","P 1","2"
"1BUA","109.30","108.30","96.30","50.30","64.20","49.40","P 1","2"
"1BWW","66.90","85.40","73.80","35.40","40.10","43.10","P 1","2"
"1BXS","110.47","105.63","103.56","80.69","87.62","90.84","P 1","4"
"1BYZ","102.40","95.33","119.62","20.85","20.91","27.06","P 1","4"
"1BZQ","91.43","117.34","97.33","66.52","66.82","69.34","P 1","4"
"1C03","106.37","106.66","115.33","66.34","66.48","66.49","P 1","4"
"1C0M","67.47","78.61","90.18","55.75","66.37","76.67","P 1","4"
"1C2W","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1C2X","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1C3H","70.55","70.62","60.14","58.64","58.71","87.32","P 1","6"
"1C4Q","106.24","106.69","98.87","44.27","44.17","54.01","P 1","5"
"1C58","87.36","89.51","61.98","21.84","22.92","29.05","P 1","2"
"1C5B","88.02","79.10","89.92","39.26","43.35","59.50","P 1","1"
"1C8D","61.95","62.62","60.19","267.56","268.45","274.33","P 1","1"
"1C8H","77.48","74.91","69.27","254.49","253.60","452.04","P 1","1"
"1C90","89.68","109.16","83.93","47.96","54.35","47.63","P 1","2"
"1CDE","111.50","82.80","62.60","76.70","72.60","57.00","P 1","4"
"1CE9","75.41","79.76","90.08","28.30","30.77","42.88","P 1","4"
"1CF5","72.98","78.39","76.97","49.09","50.58","61.12","P 1","2"
"1CGM","90.00","90.00","90.00","1.00","1.00","70.80","P 1","49"
"1CJS","83.03","80.25","74.68","34.41","39.91","55.63","P 1","1"
"1CLE","93.39","105.74","97.22","58.79","90.92","58.79","P 1","2"
"1CLL","93.62","97.30","89.17","30.17","53.60","25.14","P 1","1"
"1CLM","92.84","97.02","88.54","29.66","53.79","25.49","P 1","1"
"1CQ9","65.35","77.66","72.31","53.64","71.79","86.42","P 1","4"
"1CSE","111.80","85.80","104.70","38.30","41.50","57.00","P 1","1"
"1CWE","68.71","82.94","87.36","35.17","41.84","45.52","P 1","2"
"1D1G","94.50","95.31","110.15","35.53","51.42","52.96","P 1","2"
"1D1I","106.04","106.37","99.22","44.23","44.14","53.88","P 1","5"
"1D1K","106.05","106.38","99.26","44.22","44.13","53.71","P 1","5"
"1D1Z","65.71","78.67","89.66","32.48","62.27","65.09","P 1","4"
"1D3E","90.00","90.00","90.00","445.50","445.50","445.50","P 1","1"
"1D3I","90.00","90.00","90.00","467.33","467.33","467.33","P 1","1"
"1D4A","77.04","76.72","86.89","55.68","57.03","97.40","P 1","4"
"1D4O","68.36","87.99","74.80","33.66","36.73","38.49","P 1","1"
"1D6A","68.66","81.04","63.87","49.29","49.41","64.29","P 1","2"
"1D7F","85.10","105.00","100.90","64.86","74.46","79.10","P 1","2"
"1DBW","93.20","104.50","101.90","31.70","42.20","44.60","P 1","2"
"1DBX","109.07","100.32","90.62","32.56","42.21","54.16","P 1","2"
"1DCE","74.60","79.91","67.89","57.86","77.44","121.78","P 1","2"
"1DCK","93.20","103.00","101.80","31.70","42.50","44.70","P 1","2"
"1DDG","79.71","83.05","89.90","34.84","82.54","105.36","P 1","2"
"1DED","85.10","105.40","100.50","64.93","73.83","79.05","P 1","2"
"1DEH","92.56","103.26","68.84","54.04","44.54","93.32","P 1","2"
"1DF0","60.37","70.85","79.49","57.70","80.18","80.72","P 1","1"
"1DFW","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1DGI","90.00","90.00","90.00","583.10","583.10","583.10","P 1","1"
"1DHF","94.30","91.70","111.00","36.10","38.70","76.90","P 1","2"
"1DLA","102.30","103.30","79.00","81.30","85.90","56.60","P 1","4"
"1DMB","101.50","99.30","102.20","38.86","44.32","58.31","P 1","1"
"1DMX","67.65","75.26","75.21","48.69","60.37","60.44","P 1","2"
"1DMY","67.65","75.26","75.21","48.69","60.37","60.44","P 1","2"
"1DNP","99.10","101.50","72.00","62.60","72.20","58.50","P 1","2"
"1DQQ","81.52","77.04","87.60","39.94","67.34","84.39","P 1","2"
"1DSU","101.26","109.89","74.32","40.99","65.02","40.36","P 1","2"
"1DUQ","114.52","89.88","102.85","23.99","53.93","64.73","P 1","4"
"1DUY","82.01","76.10","77.96","50.34","62.86","74.84","P 1","2"
"1DUZ","81.58","75.66","77.38","50.56","63.79","75.08","P 1","2"
"1DVM","85.19","86.17","64.34","64.76","74.67","103.44","P 1","4"
"1DW9","70.30","72.20","66.40","76.34","81.03","82.30","P 1","10"
"1DWK","70.10","71.95","66.42","76.33","80.93","82.13","P 1","10"
"1DWL","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1DWN","88.40","88.10","87.70","285.00","324.00","380.00","P 1","360"
"1DXO","76.24","76.73","86.33","55.58","56.91","97.75","P 1","4"
"1DXX","61.08","78.22","70.54","59.69","79.33","81.95","P 1","4"
"1DYL","90.00","90.00","90.00","758.52","758.52","758.52","P 1","240"
"1E07","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1E08","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1E3A","66.14","74.18","74.23","50.71","64.27","72.00","P 1","1"
"1E3S","64.84","72.51","74.98","59.28","68.96","69.55","P 1","4"
"1E3W","65.22","73.27","75.67","57.60","67.43","67.50","P 1","4"
"1E57","63.59","61.39","62.94","289.64","287.72","295.23","P 1","180"
"1E5X","109.48","97.61","112.74","57.76","62.14","76.59","P 1","2"
"1E6W","65.22","73.27","75.67","57.60","67.43","67.50","P 1","4"
"1E78","81.22","91.08","64.28","54.84","55.62","120.27","P 1","2"
"1E7A","81.11","90.57","65.50","55.40","55.61","120.50","P 1","2"
"1E7B","81.39","90.79","65.55","54.58","54.96","120.00","P 1","2"
"1EA3","77.10","67.83","77.60","36.86","44.15","47.69","P 1","2"
"1EAW","107.62","96.86","103.36","47.10","54.23","67.82","P 1","2"
"1EC7","103.30","94.00","113.10","71.25","84.55","98.92","P 1","4"
"1EC8","103.42","93.99","113.06","71.09","84.61","98.86","P 1","4"
"1EC9","103.14","94.31","113.20","71.29","84.84","98.99","P 1","4"
"1ECQ","103.46","93.97","113.03","71.11","84.60","98.78","P 1","4"
"1EEY","82.07","76.50","78.04","49.95","62.93","74.65","P 1","2"
"1EEZ","82.15","76.38","78.33","50.21","62.32","74.66","P 1","2"
"1EG0","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1EGW","115.18","89.99","90.00","41.37","60.70","63.99","P 1","4"
"1EI8","85.86","85.54","84.34","14.15","23.77","82.21","P 1","6"
"1EO3","97.00","108.90","106.30","48.00","48.50","63.80","P 1","2"
"1EO4","96.70","109.60","106.30","47.70","48.50","63.70","P 1","2"
"1EON","96.90","108.90","106.80","47.90","48.60","63.90","P 1","2"
"1ERF","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1ERN","62.65","88.31","74.97","38.76","55.68","58.43","P 1","2"
"1ESM","102.44","89.48","93.23","62.00","71.24","87.68","P 1","4"
"1ETZ","106.70","107.60","97.30","55.90","66.30","75.20","P 1","2"
"1EV2","90.53","89.98","89.99","72.20","71.68","90.92","P 1","4"
"1EVJ","64.53","84.45","75.28","47.71","91.46","98.92","P 1","4"
"1EVT","93.40","111.17","97.18","62.55","64.06","64.14","P 1","2"
"1EXR","89.54","86.10","82.39","25.01","29.42","52.76","P 1","1"
"1EZ9","89.31","81.78","71.97","51.74","57.90","64.59","P 1","2"
"1EZS","103.57","93.27","94.62","45.83","59.68","71.04","P 1","2"
"1F0K","64.29","83.52","65.45","60.61","66.36","67.90","P 1","2"
"1F1G","109.20","109.55","109.21","72.50","72.48","72.47","P 1","6"
"1F23","90.59","88.93","96.28","38.92","41.87","55.98","P 1","6"
"1F3U","104.51","93.32","104.32","48.01","72.29","82.27","P 1","4"
"1F3W","95.90","92.80","111.90","79.00","105.40","143.50","P 1","8"
"1F3X","95.26","93.47","112.24","82.14","108.71","144.39","P 1","8"
"1F5V","75.79","60.71","61.17","51.56","52.86","52.83","P 1","2"
"1FC3","90.82","111.73","111.32","43.12","53.41","53.72","P 1","3"
"1FCW","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1FFN","72.92","73.24","69.97","47.26","68.91","81.75","P 1","2"
"1FFO","74.57","73.08","69.86","47.22","68.64","81.53","P 1","2"
"1FFP","75.10","72.90","69.28","47.01","66.90","80.41","P 1","2"
"1FGA","58.80","72.40","76.10","30.80","33.50","35.80","P 1","1"
"1FH5","109.14","106.94","95.91","58.91","65.66","73.46","P 1","1"
"1FJH","106.54","106.56","98.75","43.26","46.21","65.32","P 1","2"
"1FK8","107.52","106.34","97.63","42.78","46.19","64.98","P 1","2"
"1FL5","74.56","80.18","77.55","36.42","69.65","85.31","P 1","2"
"1FLR","95.15","86.85","98.01","42.75","43.87","58.17","P 1","1"
"1FN8","102.09","104.75","103.01","33.15","36.70","39.56","P 1","1"
"1FOQ","90.00","90.00","90.00","200.00","200.00","100.00","P 1","5"
"1FR7","86.86","89.91","75.90","42.24","43.75","66.69","P 1","2"
"1FRV","89.80","102.90","90.80","63.60","93.90","69.20","P 1","2"
"1FSK","105.70","98.32","97.62","91.65","99.14","108.90","P 1","4"
"1FSN","87.01","89.90","75.96","42.24","43.87","66.63","P 1","2"
"1FSQ","86.90","90.10","75.40","42.24","43.53","67.14","P 1","2"
"1FSR","86.70","90.00","75.60","42.30","43.80","67.60","P 1","2"
"1FUU","94.00","89.60","101.00","38.80","71.20","73.20","P 1","2"
"1FVD","113.10","92.70","102.60","39.20","80.20","86.10","P 1","2"
"1FVE","113.10","92.70","102.60","39.20","80.20","86.10","P 1","2"
"1FW9","67.37","87.37","65.26","31.69","33.86","39.89","P 1","1"
"1FXH","72.92","73.91","73.54","51.01","64.08","64.22","P 1","1"
"1FXO","89.93","80.92","81.11","71.49","73.06","134.74","P 1","8"
"1FXV","72.85","73.77","74.06","50.93","63.97","64.19","P 1","1"
"1FY4","102.24","104.75","102.85","33.13","36.77","39.64","P 1","1"
"1FY5","102.18","104.50","103.12","33.18","36.78","39.60","P 1","1"
"1FZD","104.60","108.95","71.47","71.25","105.18","71.14","P 1","8"
"1FZW","89.98","80.91","80.91","71.66","73.66","134.47","P 1","8"
"1G0R","89.98","81.42","81.56","71.27","73.08","133.65","P 1","8"
"1G16","95.25","101.68","116.20","56.01","56.38","59.37","P 1","4"
"1G1L","89.94","80.61","80.93","71.57","73.41","134.29","P 1","8"
"1G23","89.81","80.31","80.18","71.58","73.90","133.75","P 1","8"
"1G28","93.32","94.01","90.06","44.89","54.08","70.62","P 1","4"
"1G2C","81.34","73.80","60.72","67.90","71.54","76.46","P 1","12"
"1G2Q","95.69","108.40","109.58","42.66","45.77","53.88","P 1","2"
"1G4U","70.03","69.51","65.03","56.72","58.26","60.32","P 1","1"
"1G73","100.00","104.10","94.00","48.10","52.90","67.10","P 1","2"
"1G7R","104.90","101.33","98.75","48.32","54.35","90.98","P 1","1"
"1G7S","104.54","100.18","99.04","48.43","54.52","91.86","P 1","1"
"1G7T","105.17","94.76","100.17","48.80","53.68","94.93","P 1","1"
"1G87","94.22","100.87","99.61","56.85","57.72","86.27","P 1","2"
"1G8K","97.71","90.00","96.43","90.74","109.52","117.64","P 1","4"
"1GA2","93.82","100.86","99.46","56.85","57.67","86.58","P 1","2"
"1GA5","85.84","76.61","74.48","44.92","52.02","78.88","P 1","4"
"1GBG","64.66","105.86","110.68","35.33","39.13","43.88","P 1","1"
"1GC0","70.56","63.17","63.38","72.86","81.03","81.28","P 1","4"
"1GDH","102.30","113.73","102.73","60.41","60.53","66.29","P 1","2"
"1GDN","102.19","104.70","102.91","33.16","36.76","39.62","P 1","1"
"1GDQ","102.81","104.56","102.40","33.04","36.97","39.78","P 1","1"
"1GDU","102.46","103.81","102.07","33.29","37.05","40.26","P 1","1"
"1GE5","105.90","91.70","103.50","30.80","40.50","30.50","P 1","1"
"1GG5","76.42","77.22","86.45","56.73","55.45","97.21","P 1","4"
"1GGQ","84.04","81.55","89.23","127.21","33.65","47.99","P 1","4"
"1GIQ","99.20","93.10","106.90","48.20","54.44","103.38","P 1","2"
"1GML","89.97","103.95","90.35","51.74","65.02","65.47","P 1","4"
"1GN9","82.70","73.70","87.30","57.40","61.80","72.20","P 1","2"
"1GNL","82.77","73.67","87.31","57.33","61.65","72.25","P 1","2"
"1GQ2","90.05","87.16","75.63","124.15","140.86","167.08","P 1","16"
"1GQI","115.18","93.14","109.33","69.91","74.68","87.59","P 1","2"
"1GQJ","115.23","93.15","109.17","69.56","74.61","87.45","P 1","2"
"1GQK","115.34","93.06","109.20","69.71","74.88","87.48","P 1","2"
"1GQL","115.15","92.94","109.24","69.26","74.32","87.27","P 1","2"
"1GR5","90.00","90.00","90.00","1.00","1.00","1.00","P 1","14"
"1GRU","90.00","90.00","90.00","1.00","1.00","1.00","P 1","14"
"1GVJ","115.25","97.30","102.40","40.47","42.84","49.77","P 1","2"
"1GW0","110.40","95.23","109.74","62.51","72.30","88.94","P 1","2"
"1GW7","90.00","90.00","90.00","1.00","1.00","1.00","P 1","12"
"1GW8","90.00","90.00","90.00","1.00","1.00","1.00","P 1","12"
"1GX7","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1GYH","88.83","89.58","83.58","49.56","79.56","132.40","P 1","6"
"1GZ7","90.78","106.31","86.91","61.15","91.14","108.46","P 1","4"
"1H03","110.48","96.55","108.90","38.62","38.77","45.33","P 1","2"
"1H2G","70.58","72.81","73.84","52.02","64.23","70.67","P 1","1"
"1H38","90.36","92.97","109.94","79.91","84.97","202.00","P 1","4"
"1H41","115.09","93.04","109.44","69.41","74.39","87.46","P 1","2"
"1H4I","86.21","76.09","70.44","61.16","72.19","86.17","P 1","2"
"1H64","90.21","97.70","107.48","69.33","70.16","116.01","P 1","28"
"1H66","77.05","77.07","87.22","56.19","57.08","97.32","P 1","4"
"1H69","77.06","76.81","86.86","55.53","56.91","97.04","P 1","4"
"1HAQ","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1HAV","99.08","129.00","103.31","53.60","53.55","53.20","P 1","1"
"1HB5","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1HB7","90.00","90.00","90.00","1.00","1.00","1.00","P 1","12"
"1HB9","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1HDC","101.78","104.41","96.31","72.05","60.04","59.84","P 1","4"
"1HDU","90.00","97.84","90.00","65.57","60.52","74.41","P 1","4"
"1HDX","92.29","103.37","68.97","54.58","44.94","94.30","P 1","2"
"1HDY","92.65","103.21","68.77","54.36","44.89","93.85","P 1","2"
"1HDZ","92.36","103.63","68.84","53.56","44.26","93.01","P 1","2"
"1HEE","90.00","97.84","90.00","65.57","60.52","74.41","P 1","4"
"1HET","104.60","101.50","70.50","51.10","44.40","94.00","P 1","2"
"1HEU","104.30","101.07","70.67","51.18","44.57","94.10","P 1","2"
"1HFB","65.60","85.60","75.40","82.00","93.80","104.50","P 1","8"
"1HG4","85.57","85.94","83.09","37.98","86.19","137.00","P 1","6"
"1HGV","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1HGY","76.30","75.20","78.40","49.60","67.50","53.80","P 1","2"
"1HGZ","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1HH0","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1HHJ","81.53","75.72","77.48","50.37","63.60","74.75","P 1","2"
"1HHK","81.58","75.66","77.38","50.56","63.79","75.08","P 1","2"
"1HIM","89.90","101.80","96.50","60.08","67.07","73.24","P 1","2"
"1HLK","92.80","95.30","98.00","41.80","44.20","58.50","P 1","2"
"1HLZ","84.13","72.09","70.20","35.87","39.60","58.56","P 1","2"
